index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
162,Geospatial Data Scientist,3.5,"Maxar Technologies
3.5","Chantilly, VA","Westminster, CO",7500.5,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,-1,133.0,3500.0,"Maxar seeking seasoned Geospatial Data Specialist join team Chantilly VA. This position require individual explore Art Possible Geospatial Technology also identify various technology datasets could used seasoned team Analysts/Developers. Success position creating seem-less experience finding/discovery implementation mission throughout customer space. Life Project: Were building newly defined position team place customer two decades. This project offers stability opportunity explore, educate team spread enterprise-wide within customer space. Career: Were serious professional development continuing education. offer everyone opportunity define career trajectory. Our group amazing resources disposal specifically purpose. You work direct supervisor, and/or mentor, set appropriate goals design plan help make consistent progress. offer: Dedicated professional development time; conference attendance; corporate partner industry training; peer groups; paid certifications; education reimbursement; student loan forgiveness; pet insurance! And much Day-to-day colleagues: Youll spreading good word geospatial technology within customer space mission-focused. The customer office charge developing, deploying, educating Enterprise-wide Geospatial Applications, Tools Datasets. Exploration, showcasing Art Possible must position. looking thinkers doers! Minimum Requirements Must U.S. current/active TS/SCI clearance w/polygraph Bachelor's degree Geography related field years relevant experience Experience connecting Geospatial Technology Mission Strong interpersonal skills Preferred Skills Experience following software packages technologies: Esri ArcMap, ArcPro, Insights, Google Earth, Amazon Web Service, WebAppBuilder, QGIS, OpenGeo, MapProxy, Geoserver GeoWebCace. Experience processing geospatial data including Georeferencing, orthorectifying mosaicking imagery, reprojecting, routing. Familiarity aeronautical nautical charts well terrain data. Experience conducting training sessions. #cjpost"
163,Data Analyst,2.7,"USAC
2.7","Washington, DC","Washington, DC",750.5,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,-1,133.0,37.5,"currently seeking experienced, dynamic collaborative professional serve Data Analyst within High Cost Program. Reporting Senior Manager Program Management will: performs data reporting analytics, including requirements gathering reports, aggregating presenting information various programmatic data sources monthly quarterly reporting purposes. This outstanding career opportunity individual interested genuine professional challenge support public-spirited mission. Working creative fast-paced environment, responsibilities Data Analsyt include: Analyze large sets program data identify opportunities improve efficiency, integrity, stakeholder experience Universal Service program participants. Perform research analysis using programmatic data, relay programmatic impacts, trends, patterns, statistics, etc. across company. Recommend program process improvements based data maintaining reporting standards ensuring consistency quality deliverables. Create maintain queries using SQL programming languages (with preference Open Source programming languages Python) necessary consistency efficiency data retrieval various systems. Research methods tools create efficiency reporting, GIS mapping, analytical computational processes. Maintain, develop, implement policies procedures ensure accuracy integrity USAC program data reporting. Participate evaluation new technologies ensure technology architecture data analysis visualization tools line company’s evolving business intelligence needs. Support managers, directors, members leadership team various projects, needed. Other specific duties assigned. About You The successful candidate excel operating diverse fluid environment, crucial success High Cost program. You possess Bachelor’s degree accredited institution related field. You years experience data science field performing descriptive, predictive, prescriptive analysis developing data products tools provide actionable insights strategic guidance managers people leadership positions. You ability work independently, also collaborate work across departments needed. You proven experience working data warehoused databases using SQL programming languages data science Python (or demonstrated capacity learn them). You experience presenting complex analysis results plain English non-technical audience using data visualizations (i.e. charts, tables, graphs) various software platforms. You excellent written verbal communication skills, naturally curious inquisitive, interested continuously improving work. You excellent analytical skills ability collect, organize, analyze, disseminate significant amounts information attention detail accuracy. You proficient Microsoft Office Suite. Through administration $10 billion Universal Service Fund (USF) programs behalf FCC, USAC works promote availability quality services just, reasonable affordable rates increase access advanced telecommunications services throughout nation. Specifically, USF programs provide funding expansion telecommunications broadband access rural communities health care facilities, schools libraries across country, low income households. Through program administration, auditing, outreach, USAC works contributors, service providers, program beneficiaries achieve program goals articulated FCC programs. The FCC reformed USF support investment access evolving broadband infrastructure, making programs primary vehicle support critical national priority. USAC, administrator USF, plays critical role supporting ambitious vision ensure citizens United States access high-speed broadband. The organization approximately 500 employees operating budget $200 million. USAC works close partnership FCC federal state partners support achievement USF program goals. USAC administers USF programs—High Cost, Lifeline, Rural Health Care, Schools Libraries. USAC strives provide efficient, responsible stewardship programs, key national asset making important telecommunications Internet services available consumers, health care providers, schools, libraries throughout United States. The program divisions supported additional USAC personnel Finance, General Counsel, Information Systems, Internal Audit, Enterprise Program Management Office Human Resources. Consistent FCC rules, USAC make policy interpret unclear provisions statutes FCC’s rules. Universal service paid contributions telecommunications carriers, including wireline wireless companies, interconnected Voice Internet Protocol providers, including cable companies provide voice service, based assessment interstate international end- user revenues. These contributions typically passed consumers universal service fee line item telephone bills. Additional information USF programs found at: http://www.usac.org/about/about/who-we- are/default.aspx USAC offers comprehensive benefits package, ongoing professional development opportunities, including vacation sick leave. USAC Equal Opportunity Employer. Only principals accepted. agencies please. apply, please submit cover letter resume, click “Apply For This Job Online” button. USAC employees passionate mission. Our work contributes success Americans. We’ve worked together build culture collaborative, ambitious, outcome-oriented, feedback-focused."
164,Computational Scientist,3.4,"General Dynamics Information Technology
3.4","Vicksburg, MS","Fairfax, VA",10000.0,1996,Subsidiary or Business Segment,IT Services,Information Technology,"SAIC, Leidos, Northrop Grumman",133.0,10.0,"Type Requisition: Regular Clearance Level Must Currently Possess: Secret Clearance Level Must Able Obtain: Suitability: Suitability Required Public Trust/Other Required: None Job Family: Scientists Job Description: GDIT, people differentiator. HPC (High Performance Computing) Computational Scientist trusted support HPCMP PET program locations across USA. part Department Defense (DoD) High Performance Computing Modernization Program (HPCMP) Productivity Enhancement Training (PET) initiative. PET enhances capability productivity HPCMP community training, collaboration, tool software development, technology transfer, outreach. currently position Vicksburg, Computational Scientist. You join teams computational experts representing critical mass expertise key areas support HPCMP. These teams provide deep technical expertise high performance computing HPC applied diverse range scientific disciplines. Duties may include following; Software Refactoring Optimize Performance Emerging Architectures High Performance Data Analytics (HPDA): Technical support customer projects span range computational disciplines require data analytical tools methods. Emerging Hardware (HW) Exploration: Supporting evaluation emerging hardware potential deployment Technical Skills include following: Experience one prominent simulation codes. Expertise multiple common scientific computing programming languages programming models. Experience Linux large scale systems. Extensive knowledge HPC parallel programming techniques (e.g. MPI, OpenMP), multiple physical science domains. EDUCATION EXPERIENCE Bachelor Science higher preferred years experience HPC science engineering programs Must citizen eligible DoD clearance #GDITPRIORITY GDIT. The people supporting complex government, defense, intelligence projects across country. deliver bringing expertise needed understand advance critical missions. transform shifting ways clients invest in, integrate, innovate technology solutions. ensure today safe tomorrow smarter. ground, beside clients, lab, everywhere between. offer technology transformations, strategy, mission services needed get job done. GDIT Equal Opportunity/Affirmative Action employer. All qualified applicants receive consideration employment without regard race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, protected class. Scheduled Weekly Hours: Travel Required: Telecommuting Options: Work Location: USA Vicksburg Additional Work Locations: GDIT. The people supporting complex government, defense, intelligence projects across country. deliver. Bringing expertise needed understand advance critical missions. transform. Shifting ways clients invest in, integrate, innovate technology solutions. ensure today safe tomorrow smarter. there. ground, beside clients, lab, everywhere between. Offering technology transformations, strategy, mission services needed get job done. GDIT Equal Opportunity/Affirmative Action employer. All qualified applicants receive consideration employment without regard race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, protected class."
165,Data Scientist,4.4,"Offerpad
4.4","Chandler, AZ","Chandler, AZ",350.5,2015,Company - Private,Real Estate,Real Estate,-1,133.0,11033.685185185184,"Job Description looking expand Data Science team looking individuals passion Data! You collect, clean interpret data meet company's overall purpose changing buy sell homes! Position Summary The Data Scientist uses real estate industry consumer data, statistical financial concepts, open source tools uncover trends, stories business insights. The role responsible drive data-informed decisions business guide product direction analytical insights. Day day, role understand business impact, product decisions; use combination statistical modeling business intuition uncover insights data build processes generate robust metrics teams track to. Essential Functions Use consumer data, statistical financial concepts, open source tools uncover trends, stories business insights. Dive deep Offerpad’s internal third-party data (SQL Server, Databricks, Power BI, Google Analytics, solve complex, analytical problems. Have deep understanding Machine Learning models help create performance reporting around models. Partner Finance/Marketing/Product teams find opportunities suggest data driven solutions. Craft statistical/ machine learning models gain insights data communicate results partners. Tell stories describe analytical results insights meetings sizes diverse audiences. Performing ad-hoc analysis using SQL/R presenting results clear manner. Provide thought leadership across variety technical non-technical audiences ensure levels company make decisions analytical foundation. Identify, research, analyze new data sources improve model accuracy. Contributes market share growth profitability recommending changes products, pricing, risk management. Become domain expert real-estate Offerpad products services. Performs functions according established policies, procedures, regulatory accreditation requirements, well applicable professional standards. Provides internal/external customers Offerpad excellent service experience. Note: The essential functions intended describe general content requirements position intended exhaustive statement duties. Specific tasks responsibilities documented outlined incumbent's immediate manager. Scope Complexity Interacts levels leadership employees, often relaying sensitive and/or confidential information. Physical Demands/Environment Factors (Examples Listed) Requires extensive sitting periodic standing walking. May required lift pounds. Requires significant use personal computer, phone general office equipment. Needs adequate visual acuity, ability grasp handle objects. Needs ability communicate effectively reading, writing, speaking person telephone. May require off-site travel; possible out-of-state travel Minimum Qualifications Bachelor’s degree years work experience, involving quantitative data analysis complex problem solving. Deep understanding statistics (e.g. Hypothesis testing, Regression trees etc.) Have complete command SQL, either Python along experience visualization software like Power libraries Have extensive experience directly querying multi-terabyte-sized data sets (with Azure Data Warehouse) including clickstream data (like Google Analytics) raw data non-standard platforms. Have practice terminology, measurement issues related experimentation, along history applying advanced analytical approaches derive insights data. Have strong written, verbal, visual communication skills concisely communicate way provides context, offers insights, minimizes misinterpretation. Self-motivated stay top new tools, technologies concepts Truth seeking, dispassionate analysis data, able follow story conclusion evidence leads Must able work multiple projects concurrently, bias towards driving actions results, maintain healthy balance aggressive delivery analytical rigor Preferred Qualifications Master's degree higher quantitative field (e.g. science, engineering, economics, finance, statistics, similar) years work experience involving quantitative data analysis complex problem solving. Previous real estate experience plus"
166,Senior Data Analyst,4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",7500.5,1982,Company - Public,Computer Hardware & Software,Information Technology,-1,133.0,3500.0,"Job Requisition 20WD38079 Job Title Senior Data Analyst Job Description Senior Data Analyst Location: San Francisco, CA- United States Job ID: 20WD38079 Position Overview Autodesk seeking experienced data analyst join Data Science team Data Platform Insights group. The Data Platform Insights group chartered building innovative data products analytics solutions Autodesk’s strategy, marketing, sales customer support teams. Data Analysts play critical role discovering communicating data-driven insights inspire product improvements. Responsibilities Leverage Data Mining techniques find key business insights Partner Data Scientists improve Data Science models Collaborate Product Managers explore new product ideas enhancements Build reporting measure progress key initiatives Become expert Autodesk data Work individual contributor opportunities management grow team Minimum Qualifications years Analyst role Strong SQL coding skills comfortable using everyday Experience working Python Experience building Data Visualizations via Python/R Business Intelligence tool Preferred Qualifications Familiarity Data Science concepts Experience working Git Experience using big data platforms (Hadoop, Spark, Hive) A/B Testing Experience Ideal Candidate Are interested learning Data Science Have strong attention detail care deeply data quality Proactively reach stakeholders understand data better Enjoy collaborating team members drive impact Are strong communicator; adjust communication technical stakeholders non-technical stakeholders Autodesk, building diverse workplace inclusive culture give people chance imagine, design, make better world. Autodesk proud equal opportunity employer considers qualified applicants employment without regard race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status legally protected characteristic. also consider employment qualified applicants regardless criminal histories, consistent applicable law. Are existing contractor consultant Autodesk? Please search open jobs apply internally (not external site). questions require support, contact Autodesk Careers."
167,Senior Data Analyst,4.2,"Autodesk
4.0","San Francisco, CA","Herndon, VA",7500.5,1968,Company - Public,Research & Development,Business Services,-1,133.0,1500.0,"Secure Nation, Ignite Future Job Summary Each day U.S. Customs Border Protection (CBP) oversees massive flow people, capital, products enter depart United States via air, land, sea, cyberspace. The volume complexity physical virtual border crossings require application big data solutions promote efficient trade travel. Further, effective big data solutions help CBP ensure movement people, capital, products legal, safe, secure. response challenge, ManTech, trusted mission partner CBP, seeks capable, qualified, versatile Chief Data Scientist lead development delivery high-quality predictive modelling solutions. successful applicant serve recognized Subject Matter Expert application quantitative methods, machine learning algorithms, predictive models address complex national homeland security challenges. They help team leverage large structured unstructured datasets develop operationalize models, tools, applications drive optimized decision making. Project tasks include data collection, mining, data text analytics, clustering analysis, pattern recognition extraction, automated classification categorization, entity resolution implement enhance automated risk assessment. The products develop provide actionable insight real immediate impact safety security United States, citizens, visitors, economy. Required Qualifications Significant experience developing machine learning models applying advanced analytics solutions solve complex business problems dynamic, threat/risk driven operating environments. Proficiency Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc. Proficiency Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc. Proficiency statistical software packages: SAS, SPSS Modeler, WEKA, equivalent. Experience programming languages: Python, Scala, Java, SQL, equivalent. Experience constructing executing queries extract data support EDA model development. Experience unsupervised supervised machine learning techniques methods. Experience working large-scale (e.g., terabyte petabyte) unstructured structured data sets databases. Experience performing data mining, analysis, training set construction. Experience working team deploying solutions iterative agile/DevOps continuous integration delivery environment using lifecycle management methods tools. Strong ability work closely collaboratively mission stakeholders; respond emergent, mission-driven changes priorities expected outcomes; and, apply new emerging tools techniques. Masters Ph.D. degree operations research, industrial engineering, physics, mathematics, statistics, computer science/engineering, related technical fields equivalent practical experience. Desired Qualifications Experience big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop). Experience pattern recognition extraction, automated classification, categorization, entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation). Experience visualization tools techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI). Clearance: Active Top Secret Clearance: Selected applicants must Citizen able obtain maintain U.S. Customs Border Protection (CBP) suitability. #LI-FA1 ManTech International Corporation, well subsidiaries proactively fulfills role equal opportunity employer. discriminate employee applicant employment race, color, sex, religion, age, sexual orientation, gender identity expression, national origin, marital status, physical mental disability, status Disabled Veteran, Recently Separated Veteran, Active Duty Wartime Campaign Badge Veteran, Armed Forces Services Medal, characteristic protected law. require reasonable accommodation apply position ManTech online applicant system, please contact ManTech's Corporate EEO Department (703) 218-6000. ManTech affirmative action/equal opportunity employer minorities, females, disabled protected veterans urged apply. ManTech's utilization external recruitment job placement agency predicated upon full compliance equal opportunity/affirmative action policies. ManTech accept resumes unsolicited recruiting firms. pay fees unsolicited services. qualified individual disability disabled veteran, right request accommodation unable limited ability use access http://www.mantech.com/careers/Pages/careers.aspx result disability. request accommodation please click careers@mantech.com provide name contact information."
168,Data Engineer,3.5,"Magna International Inc.
3.5","Birmingham, AL","Aurora, Canada",10000.0,1957,Company - Public,-1,-1,"Bosch, Lear Corporation, Faurecia",133.0,10.0,"Job Number: 10202 Group: Cosma International Division: Kamtek Casting Job Type: Permanent/Regular Location: Birmingham Group Description Cosma provides comprehensive range body, chassis engineering solutions global customers. Through robust product engineering, outstanding tooling capabilities diverse process expertise, continue bring lightweight innovative products market. Company Overview KAMTEK premier Tier automotive manufacturing supplier specializes Class “A” Stamping, Assembly High Pressure Die Casting produces Body-side Door Openings, Roofs, Floor Pans, Wheelhouses, Large Welded Assemblies, Doors, Fenders, Hoods, Lift-gates, Aluminum Shock Towers, Aluminum Rear Rails. Our capabilities include manufacturing Class “A” Body Panels along Medium/Large Stampings, Large Assemblies Aluminum Stampings Assemblies, Aluminum High Pressure Vacuum Die Casting Original Equipment Manufacturers (OEMs) Mer­cedes Benz, Volkswagen, Kia, Hyundai, Nissan, BMW Freightliner. local distributor supplier, Kamtek’ market segmentation Cosma International, division MAGNA INTERNATIONAL) provides “state-of-the-art” product utilizes technologically advanced Pressing processes order maintain competitive advantage OEM’s within market. Our company’s culture team spirit mutual respect focus fair treatment helps embrace multi-cultural affiliation Magna International, supports mission process efficiency competitive product pricing. Furthermore, culture Kamtek focuses Job Security, employees given opportunity continuous training, advancement within skill/trade, potential growth within safe work environment. offer Employee Equity Profit Participation programs increase employees’ ownership within company. Kamtek, part Cosma International division Magna International, represents diversified automotive supplier world. design, develop manufacture automotive systems, assemblies, modules components, engineer assemble complete vehicles, primarily sale original equipment manufacturers (OEMs) cars light trucks three geographic segments North America, Europe, Rest World (primarily Asia, South America Africa). Our capabilities include design, engineering, testing manufacture automotive interior systems; seating systems; closure systems; metal body chassis systems; mirror systems; exterior systems; roof systems; electronic systems; powertrain systems well complete vehicle engineering assembly. leading global automotive supplier 347 manufacturing operations product development, engineering sales centres countries. 168,000 employees focused delivering superior value customers innovative processes World Class Manufacturing. Role Summary The hire responsible expanding optimizing data data pipeline architecture, well optimizing data flow collection cross functional teams. The ideal candidate experienced data pipeline builder data wrangler enjoys optimizing data systems building ground up. The Data Engineer support team data initiatives ensure optimal data delivery architecture consistent throughout ongoing projects. They must self-directed comfortable supporting data needs multiple teams, systems products. The right candidate excited prospect optimizing even re-designing division’s data architecture support next generation products data initiatives Key Responsibilities Create maintain optimal data pipeline architecture, 2.Assemble large, complex data sets meet functional non-functional business requirements. 3.Identify, design, implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure greater scalability, etc. 4.Build infrastructure required optimal extraction, transformation, loading data wide variety data sources using SQL AWS ‘big data’ technologies. 5.Build analytics tools utilize data pipeline provide actionable insights customer acquisition, operational efficiency key business performance metrics. 6.Work stakeholders including Executive, Product, Data Design teams assist data-related technical issues support data infrastructure needs. 7.Keep data separated secure across national boundaries multiple data centers AWS regions. 8.Create data tools analytics team members assist building optimizing product innovative industry leader. 9.Work data analytics experts strive greater functionality data systems. 10.Perform duties required. Key Qualifications/Requirements Advanced working SQL knowledge experience working relational databases, query authoring (SQL) well working familiarity variety databases. Experience building optimizing ‘big data’ data pipelines, architectures data sets. Experience performing root cause analysis internal external data processes answer specific business questions identify opportunities improvement. Strong analytic skills related working unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency workload management. successful history manipulating, processing extracting value large disconnected datasets. Working knowledge message queuing, stream processing, highly scalable ‘big data’ data stores. Strong project management organizational skills. Experience relational SQL NoSQL databases. Experience data pipeline workflow management tools. Experience AWS cloud services: EC2, EMR, RDS, Redshift Experience stream-processing systems: Storm, Spark-Streaming, etc. Experience object-oriented/object function scripting languages: Python, Java, C++, Scala, etc Knowledge Education EDUCATION: Bachelor's degree computer science, information technology, applied math TECHNICAL TRAINING: data engineering certifications like IBM Certified Data Engineer Google's Certified Professional EXPERIENCE: Experience supporting working cross-functional teams dynamic environment. looking candidate years experience Data Engineer role, attained degree Computer Science, Statistics, Informatics, Information Systems another quantitative field. They also experience using following software/tools: •Experience big data tools: Hadoop, Spark, Kafka, etc."
169,Sr Data Analyst,2.3,"United BioSource
2.3","Blue Bell, PA","Blue Bell, PA",3000.5,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Covance, ICON",133.0,300.0,"Position location: Lake Mary, FLorBlue Bell, Position Summary The Senior Data Analyst drives pharma client analytics solutions United BioSource Corporation (UBC), supporting many world’s largest pharmaceutical companies improve patient lives, support drug safety programs, help manage new Clinical studies. Responsibilities Build continually improve Tableau dashboard offerings business partners. Monitor analyze business performance, providing targeted dashboards recommendations operational improvement. Serve Subject Matter Expert (SME) business data, systems processes team’s area support. Write edit SQL code ensure data pulled optimally. Required Qualifications technical field (BI, Analytics, Data Science, IS, Computer Science, etc). Advanced SQL skills. Advanced dashboard design skills, including years experience dashboard toolset (Tableau, Qlik, Domo, Birst, etc). years data analysis experience. Excellent communication presentation ability. Excellent project management skills. Highly self-motivated. Preferred Qualifications Data-related field (BI, Analytics, Data Science, etc). Expert-level SQL skills Expert-level Tableau skills. Advanced skills. Healthcare (ideally pharma) experience. ·Minimal travel required #LI-SF1"
170,Data Scientist,3.4,"Kelly
3.4","Chicago, IL","Troy, MI",7500.5,1946,Company - Public,Staffing & Outsourcing,Business Services,"Adecco, ManpowerGroup, Allegis Corporation",133.0,7500.0,"Kelly Services seeking Data Scientist leading hospital health care company Chicago, IL. Job Title: Data Scientist Location: Chicago, Type: Contract (W2) Length: months (Possibility Extension) Pay Rate: $45/HR Job Purpose: This position responsible employing advanced analytical techniques create drive adoption data-based products processes add business value internal external customers. They use data analysis, machine learning, predictive modeling, statistics, visualization, data science techniques derive actionable insights. They leverage domain expertise communication skills identify data-based solutions customer needs, present explain technical findings non-technical audiences promote data-driven decision making. They create analytical processes automated machine driven decision making human decision making scalable feasible. Job Responsibilities: Apply data analysis, machine learning, predictive modeling, statistics, visualization, data science techniques derive actionable insights. Leverage domain expertise communication skills identify data-based solutions customer needs. Develop, create, implement data-based products processes add business value internal external customers. Develop, create, implement analytical processes automated machine driven decision making human decision making scalable feasible. Present explain technical findings non-technical audiences promote data-driven decision making. Identify new data sources, drive collection data, identify use cases existing data sources. Document steps data sources ensure models processes easily understandable maintainable. Document steps data sources ensure models processes easily understandable maintainable. Communicate interact effectively professionally co-workers, management, customers, etc. Comply HIPAA, Diversity Principles, Corporate Integrity, Compliance Program policies applicable corporate departmental policies. Maintain communication management regarding development within areas assigned responsibilities perform special projects required requested. Job Qualifications: Bachelor’s degree years work experience mathematical, statistical, computer science, engineering, physics, economics related quantitative field; Actuarial credential Master’s degree years work experience mathematical, statistical, computer science, engineering, physics, economics related quantitative field; Ph.D. mathematical, statistical, computer science, engineering, physics, economics related quantitative field; years experience advanced mathematical, statistical, computer science, engineering, physics, economics related quantitative field. Strong learning growth mindset Customer-focused Strong interpersonal, verbal written communication skills. Must demonstrate proficiency least four following six areas: data analysis relational-style query languages; machine learning and/or statistical modeling; data visualization; high-level programming language; distributed computing; understanding healthcare. Proficiency Microsoft applications including Access, Excel, Word Power Point. position interest please share updated word profile shai879@kellyservices.com advise best time number reached. Shazneen Irani Professional Technical Recruiter Kelly Services, Inc. shai879@kellyservices.com kellyservices.com Why Kelly®? worker today, take charge career look opportunities learn, grow, achieve potential. Helping find whats next about. know whats going evolving world workjust ask nearly 500,000 people employ year. Connecting means getting support, guidance, opportunities needed take career may never imagined. About Kelly® Kelly, always thinking whats next advising job seekers new ways working reach full potential. fact, leading advocate temporary/nontraditional workstyles, believe allow flexibility tremendous growth opportunities enable better way work live. Connecting great people great companies best, employment opportunities span wide variety workstyles, skill levels, industries around world. Kelly equal opportunity employer committed employing diverse workforce, including, limited to, minorities, females, individuals disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity The Law. #KellyGTS"
171,"Machine Learning Scientist - Bay Area, CA",3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",750.5,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,133.0,11033.685185185184,"Passionate precision medicine advancing healthcare industry? Recent advancements underlying technology finally made possible impact clinical care meaningful way. Tempus' proprietary platform connects entire ecosystem real-world evidence deliver real-time, actionable insights physicians, providing critical information right treatments right patients, right time. The ideal candidate significant expertise biomedical clinical domain, eager apply skills improve patient outcomes. What You Will Do: Analyze integrate large diverse clinical, molecular imaging datasets extract insights, drive research opportunities. Design prototype novel analysis tools algorithms predicting patient outcome treatment response. Collaborate product, science, engineering, business development teams build advanced data platform precision medicine. Interrogate analytical results robustness, validity, sample stability. Document, summarize, present findings group peers stakeholders. Required Qualifications: MS/PhD degree quantitative discipline (e.g. statistical genetics, cancer genetics, machine learning, bioinformatics, statistics, computational biology, applied mathematics, physics, similar). Outstanding analytical problem solving skills, particular focus understanding intricacies molecular multi-modal data sets. Experience working genomic, clinical, imaging data. Experience supervised unsupervised machine learning algorithms, ensemble methods, as: PCA, regression, deep neural networks, decision trees, gradient boosting, generalized linear models, mixed effect models, non-linear low dimensional embeddings clustering. Proficient Python SQL. Experience following: Pandas, NumPy, SciPy, Scikit-learn, Jupyter Notebooks, machine learning framework TensorFlow, SageMaker, PyTorch Strong programming skills. Thrive fast-paced environment willing shift priorities seamlessly. Experience communicating insights presenting concepts diverse audiences. Team player mindset ability work interdisciplinary team. Goal orientation, self motivation, drive make positive impact healthcare. Preferred Qualifications: Strong peer-reviewed publication record. years full time employment postdoctoral experience building validating predictive models structured unstructured data. Experience with: Git, matplotlib, seaborn, HTML5, CSS3, JavaScript, D3, Plot.ly, Flask, Dask, Docker, AWS. Experience working Linux Mac AWS cloud environments. Experience agile environments comfort quick iterations."
172,Data Scientist,4.7,"C3.ai
4.7","Redwood City, CA","Redwood City, CA",350.5,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,"GE Digital, Palantir Technologies, Uptake",133.0,300.0,"C3.ai leading enterprise software provider accelerating digital transformation. The comprehensive proven Suite uses model-driven abstraction layer enable organizations develop, deploy, operate enterprise scale applications 40x 100x faster alternative approaches. www.c3.ai Data Scientist, participate definition new analytics capabilities able provide customers information need make proper decisions support customers operating internet things (IoT). addition, help find appropriate machine learning data mining algorithms answer questions. Finally, responsible implementing product making available customers. Qualified candidates in-depth knowledge common machine learning techniques application. You also understand limitations algorithms tweak derive achieve similar results large-scale. Your Responsibilities: Driving adoption Deep Learning systems next-generation C3.ai products. Designing deploying Machine Learning algorithms industrial applications fraud detection predictive maintenance. Collaborating data subject matter experts C3.ai customer teams seek, understand, validate, interpret, correctly use new data elements. Requirements: PhD Computer Science, Electrical Engineering, Statistics, equivalent fields. Applied Machine Learning experience (regression classification, supervised, unsupervised learning). Strong mathematical background (linear algebra, calculus, probability statistics). Experience scalable (MapReduce, streaming). Ability drive project work independently team. Smart, motivated, attitude, seeks make difference. Excellent verbal written communication. Preferred Experience JavaScript prototyping languages Python Experience Java Scala plus. Knowledge electrical engineering cyber-physical systems plus. portfolio projects (GitHub, papers, etc.) plus. C3.ai provides competitive compensation package excellent benefits including: Competitive salary, generous stock options, 401K, medical, dental, vision benefits. office, offer fully stocked kitchen catered breakfast lunch, table tennis pool table, free membership on-site gym, Friday evening social hours food, drink music fun team great people. C3.ai proud Equal Opportunity Affirmative Action Employer. discriminate basis legally protected characteristics, including disabled veteran status."
